param_name,layer_num,component,param_count,relative_l2_diff
layers.35.self_attn.k_proj.weight,35,attention,524288,0.0008913412080366893
layers.12.self_attn.k_proj.bias,12,attention,256,4.145676589211447e-06
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.0006592449141808362
layers.10.self_attn.v_proj.bias,10,attention,256,0.0001682981873369277
layers.31.self_attn.v_proj.weight,31,attention,524288,0.000567909479281322
layers.27.self_attn.k_proj.weight,27,attention,524288,0.0008053589410970943
layers.26.self_attn.q_proj.bias,26,attention,2048,2.4568900443207553e-06
layers.24.post_attention_layernorm.weight,24,attention,2048,2.7846169710882243e-07
layers.22.self_attn.q_proj.bias,22,attention,2048,3.1351944169851312e-06
layers.14.self_attn.v_proj.weight,14,attention,524288,0.0005782992767877039
layers.13.self_attn.k_proj.bias,13,attention,256,1.0053145780733014e-05
layers.16.mlp.up_proj.weight,16,ffn,22544384,0.0005587753181332767
layers.18.self_attn.k_proj.bias,18,attention,256,3.159705057795648e-06
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0006352618461351998
layers.26.self_attn.v_proj.weight,26,attention,524288,0.0005345770811706872
layers.33.self_attn.k_proj.weight,33,attention,524288,0.0010213569455372084
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0005615969309264644
layers.28.self_attn.v_proj.weight,28,attention,524288,0.0004940502509393433
layers.14.self_attn.q_proj.weight,14,attention,4194304,0.00048212379297659746
layers.1.self_attn.k_proj.bias,1,attention,256,5.386082082065385e-07
layers.6.self_attn.q_proj.bias,6,attention,2048,2.608692983154962e-06
layers.8.post_attention_layernorm.weight,8,attention,2048,6.265156817012685e-07
layers.28.mlp.down_proj.weight,28,ffn,22544384,0.0005861751098233134
layers.9.self_attn.k_proj.bias,9,attention,256,9.796010108183298e-06
layers.1.self_attn.k_proj.weight,1,attention,524288,0.00028217533189212735
layers.22.self_attn.v_proj.weight,22,attention,524288,0.0006033270267987341
layers.2.mlp.up_proj.weight,2,ffn,22544384,0.0005644331505023879
layers.35.input_layernorm.weight,35,norm,2048,0.0
layers.8.self_attn.v_proj.weight,8,attention,524288,0.0005618211144652629
layers.32.self_attn.k_proj.bias,32,attention,256,3.90021910210203e-06
layers.17.post_attention_layernorm.weight,17,attention,2048,6.147821247088298e-07
layers.7.self_attn.k_proj.weight,7,attention,524288,0.0005328126612406276
layers.30.self_attn.o_proj.weight,30,attention,4194304,0.0006004254382679212
layers.20.self_attn.v_proj.weight,20,attention,524288,0.0006663391851035364
layers.0.self_attn.o_proj.weight,0,attention,4194304,0.0006579227160015197
layers.27.self_attn.v_proj.bias,27,attention,256,9.547262508705962e-05
layers.29.self_attn.v_proj.weight,29,attention,524288,0.0005043556401663085
layers.15.self_attn.v_proj.bias,15,attention,256,0.0001552665084168596
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.0006676851567398189
layers.30.self_attn.k_proj.bias,30,attention,256,1.0264324575846452e-05
layers.16.self_attn.k_proj.weight,16,attention,524288,0.00045941470707981923
layers.19.self_attn.k_proj.weight,19,attention,524288,0.0005008908863077394
layers.12.post_attention_layernorm.weight,12,attention,2048,3.510897121565554e-07
layers.17.self_attn.v_proj.bias,17,attention,256,0.00014384815183522668
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.00042585570460349756
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0005887713320073761
layers.25.self_attn.v_proj.bias,25,attention,256,0.00024994838894702335
layers.22.self_attn.q_proj.weight,22,attention,4194304,0.0006095383492352664
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0005307397048812659
layers.1.mlp.down_proj.weight,1,ffn,22544384,0.0008366121059967542
layers.16.self_attn.q_proj.bias,16,attention,2048,3.1552140827780196e-06
layers.34.self_attn.o_proj.weight,34,attention,4194304,0.0005641242146495295
layers.20.input_layernorm.weight,20,norm,2048,5.294917295451533e-07
layers.29.self_attn.k_proj.bias,29,attention,256,2.152844430004147e-06
layers.14.self_attn.k_proj.bias,14,attention,256,7.405572557016589e-06
layers.5.self_attn.v_proj.weight,5,attention,524288,0.0006165161352205218
layers.4.mlp.gate_proj.weight,4,ffn,22544384,0.0006749839557791531
layers.2.self_attn.v_proj.bias,2,attention,256,0.0005884597892855238
layers.28.self_attn.q_proj.bias,28,attention,2048,2.992863098996973e-06
layers.15.self_attn.q_proj.weight,15,attention,4194304,0.000537738111004642
layers.11.self_attn.v_proj.bias,11,attention,256,0.0001271724090078787
layers.1.mlp.gate_proj.weight,1,ffn,22544384,0.00043522462099877595
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.0006325396191489599
layers.9.self_attn.k_proj.weight,9,attention,524288,0.000368297160846809
