param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.18.post_attention_layernorm.weight,18,attention,2048,1.0283719422617205e-06,4
layers.26.self_attn.k_proj.weight,26,attention,524288,0.0015616455242828925,4
layers.34.self_attn.o_proj.weight,34,attention,4194304,0.0012413669341848701,4
layers.23.self_attn.o_proj.weight,23,attention,4194304,0.001644504962292089,4
layers.14.self_attn.o_proj.weight,14,attention,4194304,0.001420999912108989,4
layers.33.mlp.down_proj.weight,33,ffn,22544384,0.00118468298802686,4
layers.6.self_attn.q_proj.bias,6,attention,2048,6.312350179408149e-06,4
layers.30.self_attn.o_proj.weight,30,attention,4194304,0.0013736746771973226,4
layers.2.self_attn.v_proj.bias,2,attention,256,0.0011750325602788954,4
layers.22.self_attn.k_proj.bias,22,attention,256,1.3902211363929251e-05,4
layers.0.mlp.gate_proj.weight,0,ffn,22544384,0.0010219476015536847,4
layers.35.mlp.down_proj.weight,35,ffn,22544384,0.0012574814548527327,4
layers.25.input_layernorm.weight,25,norm,2048,2.2445832064655767e-06,4
layers.24.self_attn.v_proj.weight,24,attention,524288,0.001404806236238378,4
layers.19.mlp.up_proj.weight,19,ffn,22544384,0.0013995180487114463,4
layers.14.self_attn.v_proj.weight,14,attention,524288,0.0013795068097271967,4
layers.34.mlp.gate_proj.weight,34,ffn,22544384,0.0013878283061167674,4
layers.22.input_layernorm.weight,22,norm,2048,8.366288897179998e-07,4
layers.5.self_attn.k_proj.bias,5,attention,256,2.5215640634879863e-05,4
layers.32.post_attention_layernorm.weight,32,attention,2048,1.304674830142229e-06,4
layers.34.self_attn.k_proj.weight,34,attention,524288,0.0020503367249007282,4
layers.4.self_attn.q_proj.weight,4,attention,4194304,0.001027234396703929,4
layers.3.input_layernorm.weight,3,norm,2048,4.676320524903832e-06,4
layers.5.input_layernorm.weight,5,norm,2048,2.793491744559738e-06,4
layers.29.self_attn.k_proj.weight,29,attention,524288,0.0017418773267936607,4
layers.13.input_layernorm.weight,13,norm,2048,0.0,4
layers.22.mlp.up_proj.weight,22,ffn,22544384,0.0014199971408300066,4
layers.11.mlp.up_proj.weight,11,ffn,22544384,0.001295890207542649,4
layers.2.self_attn.v_proj.weight,2,attention,524288,0.001557128468044124,4
layers.5.self_attn.v_proj.weight,5,attention,524288,0.001286681387449821,4
layers.25.self_attn.q_proj.weight,25,attention,4194304,0.0015372871782713094,4
layers.26.self_attn.q_proj.bias,26,attention,2048,7.188677965358656e-06,4
layers.33.self_attn.q_proj.weight,33,attention,4194304,0.001621106631268646,4
layers.8.post_attention_layernorm.weight,8,attention,2048,8.253788797892515e-07,4
layers.10.post_attention_layernorm.weight,10,attention,2048,1.586798494799724e-06,4
layers.13.mlp.gate_proj.weight,13,ffn,22544384,0.001237319362827614,4
layers.33.mlp.up_proj.weight,33,ffn,22544384,0.0011775094556160553,4
layers.24.mlp.up_proj.weight,24,ffn,22544384,0.0014213698764397702,4
layers.17.self_attn.v_proj.bias,17,attention,256,0.00026300106821968274,4
layers.27.self_attn.q_proj.weight,27,attention,4194304,0.0015427307393931988,4
layers.13.self_attn.k_proj.weight,13,attention,524288,0.0009615047881004152,4
layers.35.mlp.gate_proj.weight,35,ffn,22544384,0.0012809470906295726,4
layers.27.self_attn.v_proj.weight,27,attention,524288,0.0013318072134119619,4
layers.11.self_attn.q_proj.bias,11,attention,2048,4.709646518331619e-06,4
layers.19.self_attn.q_proj.bias,19,attention,2048,9.402224341076766e-06,4
layers.26.self_attn.v_proj.weight,26,attention,524288,0.0012915040286650172,4
layers.6.self_attn.v_proj.bias,6,attention,256,0.0008442315473360291,4
layers.4.self_attn.q_proj.bias,4,attention,2048,5.237109545913127e-06,4
layers.6.input_layernorm.weight,6,norm,2048,5.230799352658768e-06,4
layers.15.mlp.gate_proj.weight,15,ffn,22544384,0.001341474776401603,4
layers.32.self_attn.q_proj.bias,32,attention,2048,1.0365661154004106e-05,4
layers.7.self_attn.v_proj.bias,7,attention,256,0.0006506468943487633,4
layers.7.self_attn.v_proj.weight,7,attention,524288,0.0011888033878202776,4
